dataset,site_name,site_id,X,Y,ESA CCI,Chopping et al.,GEDI L4B,Liu et al.,LT-GNN,Menlove & Healey,Xu et al.,cluster
NEON,Harvard Forest,HARV,-72.17265999999995,42.53690000000006,,,164.08071920201135,37.92121124267578,,114.92280578613284,,8.0
NEON,Smithsonian Conservation Biology Institute,SCBI,-78.13949999999994,38.89292000000006,,,334.2797546386719,115.21283721923828,,106.78276824951168,,0.0
NEON,Ordway-Swisher Biological Station,OSBS,-81.99342999999999,29.68927000000008,,,63.37915526990175,69.8902869866861,,42.73400115966798,,6.0
NEON,UNDERC,UNDE,-89.53724999999997,46.23388000000006,,,155.06964287223695,139.33177185058594,,91.69925689697256,,18.0
NEON,Konza Prairie Biological Station,KONZ,-96.56309,39.10077000000007,,,7.4775508168800116,10.838811874389648,,10.13510704040527,,4.0
NEON,Oak Ridge,ORNL,-84.28259999999995,35.96412000000004,,,162.48270185368082,91.84534454345705,,115.7058900837456,,16.0
NEON,Talladega National Forest,TALL,-87.39326999999997,32.95046000000008,,,228.3554913688354,85.78457641601561,,125.90326690673824,,1.0
NEON,Woodworth,WOOD,-99.24135599999994,47.12822800000004,,,4.161301533816176,9.719982071400445,,0.0,,17.0
NEON,Central Plains Experimental Range,CPER,-104.745602469,40.81553413400008,,0.0,1.2686890065322318,9.621728304071985,,0.0,0.0,17.0
NEON,LBJ National Grassland,CLBJ,-97.56999999999994,33.40123000000006,,,17.868777801463494,11.764260292053224,,3.6895515918731703,,4.0
NEON,Yellowstone Northern Range (Frog Rock),YELL,-110.53914,44.95348000000007,7.984610350218362,,37.20221154716159,59.85466003417969,,36.56377029418943,79.86768341064453,20.0
NEON,Niwot Ridge Mountain Research Station,NIWO,-105.58237,40.05425000000003,,7.325276756761507,18.36632388367807,76.3296890258789,,76.99402618408205,108.78213500976562,3.0
NEON,Santa Rita Experimental Range,SRER,-110.83549,31.91068000000007,0.0,0.0,1.5765244662432194,11.92995548248291,0.1787477273160833,1.5605182647705091,12.60093879699707,17.0
NEON,Onaqui,ONAQ,-112.45244,40.17759000000007,0.0,0.0,1.5952767515412851,9.84560489654541,,7.78439426422119,8.735177040100098,17.0
NEON,Wind River Experimental Forest,WREF,-121.951912,45.82048800000007,244.42905363742184,,357.71412590536136,194.78326416015625,,320.59512329101574,819.6820678710938,19.0
NEON,San Joaquin,SJER,-119.73228,37.10878000000002,1.6218796749661994,12.91192250855492,28.62540995412152,27.24946594238281,28.97867056642402,6.710339065870314,66.29370653246828,15.0
Ameriflux,ARM-SGP Medford hay pasture,US-A32,-97.8198,36.8193,,,1.5125311333228766,9.241511344909668,,0.049303114414215,,17.0
Ameriflux,ARM-SGP-Morrison,US-A39,-96.069,36.3776,,,58.81318761359901,11.235669136047363,,16.385580901893892,,5.0
Ameriflux,ARM SGP milo field,US-A74,-97.5489,36.8085,,,1.844797739198304,9.952825546264648,,0.7866505980491632,,17.0
Ameriflux,Arkansas Grassland,US-AaG,-91.6282,33.1105,,,34.45238378430261,70.45883178710938,,23.470457077026364,,6.0
Ameriflux,Acton Lake Flux Tower Site,US-Act,-84.755,39.582,,,130.83259406696254,16.741094865114533,,28.85890197568609,,7.0
Ameriflux,Amargosa Desert Research Site (ADRS),US-ADR,-116.6933,36.7653,0.0,0.0,0.0156573452260686,8.858436584472656,0.0,0.0,2.35007744234559,17.0
Ameriflux,MPG - Apricot Lane Farms,US-AF1,-118.9244,34.3108,6.1133705767343685,2.9805592163766943,25.413224114064445,16.068876266479492,38.27850288108922,0.0,57.35739135742188,15.0
Ameriflux,Savannah River Site,US-Akn,-81.5653,33.3825,,,130.94284057617188,49.52075958251953,,129.59916645325686,,8.0
Ameriflux,Allequash Creek Site,US-ALQ,-89.6067,46.0308,,,122.05219606799868,139.33177185058594,,59.995025634765646,,18.0
Ameriflux,Argonne Testbed for Multiscale Observational Science (ATMOS),US-AMS,-87.9963,41.7018,,,66.46163309933095,48.45542396854878,,15.054048543236954,,5.0
Ameriflux,Low Density Apple Orchard,US-AoL,-85.7648,43.2513,,,50.77234176381435,47.64736246010457,,77.04673799958326,,7.0
Ameriflux,ARM USDA UNL OSU Woodward Switchgrass 1,US-AR1,-99.42,36.4267,,0.574486194209488,4.391789575366253,11.363643646240234,,0.0,,17.0
Ameriflux,ARM USDA UNL OSU Woodward Switchgrass 2,US-AR2,-99.5975,36.6358,,0.0,3.992512897600917,10.82253360748291,,1.5844595160101755,,17.0
Ameriflux,ARM Southern Great Plains burn site- Lamont,US-ARb,-98.0402,35.5497,,,2.504121439612042,10.082136154174805,,3.2476708889007586,,17.0
Ameriflux,ARM Southern Great Plains control site- Lamont,US-ARc,-98.04,35.5465,,,2.3917433204697307,10.082136154174805,,3.246173512117066,,17.0
Ameriflux,ARM Southern Great Plains site- Lamont,US-ARM,-97.4888,36.6058,,,1.7270547478739997,10.06735347431817,,0.7866505980491638,,17.0
Ameriflux,USSL San Joaquin Valley Almond High Salinity,US-ASH,-120.201,36.1697,12.410898002068269,0.3404599910695453,10.832120640385316,20.50665664672852,14.846988566617332,0.0,3.743101442697547,4.0
Ameriflux,USSL San Joaquin Valley Almond Low Salinity,US-ASL,-120.1024,36.9466,0.4365597322568594,0.259769451119015,3.813759110796599,18.284780502319336,1.0596516618163316,0.0,17.71551386570074,17.0
Ameriflux,USSL San Joaquin Valley Almond Medium Salinity,US-ASM,-120.2026,36.1777,10.094355396587812,0.1311653005686824,10.563396059246983,20.50665664672852,14.78150331461064,0.0,2.987169276199632,4.0
