product,agb_Mg_ha,year,IGBP_Class,Longitude,Latitude,IGBP_Name,ffp_radius
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-116.1555755,33.45829879,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-105.8678058,34.56440284,Evergreen Needleleaf Forest,1
chopping,-909,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-122.8821942,40.5895225,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-121.4433453,41.08412187,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-118.6196043,36.62373479,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-106.6232014,36.58776392,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-111.6052158,35.40971814,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-109.9415468,31.425945,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-119.2850719,35.83237579,Evergreen Needleleaf Forest,1
chopping,62,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-120.2023381,37.86472958,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-121.1735612,36.69567651,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-104.4919065,34.9331042,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-112.846223,33.32340805,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-113.8534173,36.49783676,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-109.2940647,31.58781388,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-113.1429856,34.4834684,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-115.0404676,35.28382012,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-108.7185252,31.39896685,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-106.2095324,35.67949962,Evergreen Needleleaf Forest,1
chopping,328.2727051,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-123.9073741,39.9150688,Evergreen Needleleaf Forest,1
chopping,-899.8182373,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-122.7023381,40.46362447,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-106.919964,33.92592002,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-121.596223,37.70286069,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-106.4163669,36.03021554,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-115.4721223,35.31079826,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-111.7131295,36.60574935,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-106.3893885,32.88276497,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-106.8030576,36.1201427,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-119.5728417,36.4079096,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-108.7814748,34.96008234,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-111.1375899,36.49783676,Evergreen Needleleaf Forest,1
chopping,-688.7272949,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-121.4703237,40.40966818,Evergreen Needleleaf Forest,1
chopping,97.6363678,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-116.7041367,33.71908755,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-106.7580935,34.98706049,Evergreen Needleleaf Forest,1
chopping,-886.5454712,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-121.227518,40.5355662,Evergreen Needleleaf Forest,1
chopping,-909,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-120.0854317,41.47980137,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-112.3785971,32.76585967,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-109.3390288,35.05900222,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-110.256295,35.55360159,Evergreen Needleleaf Forest,1
chopping,-902.6363525,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-123.4127698,39.6273019,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-110.3911871,32.90974312,Evergreen Needleleaf Forest,1
chopping,-698.6363525,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-123.6645683,41.74059013,Evergreen Needleleaf Forest,1
chopping,-769.5454712,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-123.3498201,40.68844237,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-113.3318345,32.48708547,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-112.4865108,35.28382012,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-109.0242806,34.57339556,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-120.2203237,39.68125819,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-111.3714029,34.89713333,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-119.0872302,37.84674415,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-106.7580935,36.61474207,Evergreen Needleleaf Forest,1
